pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0.000000000000000000e+00,0.000000000000000000e+00,-2.000000094994902611e-03,0.000000000000000000e+00,1.163211617006719578e+01,-1.401620660912576000e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.959596062079071999e-03,0.000000000000000000e+00,1.187890774453258658e+01,-1.380766906833022034e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.919192029163241386e-03,0.000000000000000000e+00,1.212196141843465469e+01,-1.359478670938316291e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.878787996247410774e-03,0.000000000000000000e+00,1.236120071079685623e+01,-1.337762651934320601e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.838383963331580162e-03,0.000000000000000000e+00,1.259655034090273951e+01,-1.315625683136135926e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.797979930415749550e-03,0.000000000000000000e+00,1.282793625198430298e+01,-1.293074730317881738e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.757575897499918938e-03,0.000000000000000000e+00,1.305528563452521773e+01,-1.270116889520798686e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.717171748168766499e-03,0.000000000000000000e+00,1.327852694917158338e+01,-1.246759384820356154e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.676767715252935886e-03,0.000000000000000000e+00,1.349758994924300914e+01,-1.223009566053076291e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.636363682337105274e-03,0.000000000000000000e+00,1.371240570283691618e+01,-1.198874906503781190e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.595959649421274662e-03,0.000000000000000000e+00,1.392290661451913891e+01,-1.174363000553996272e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.555555616505444050e-03,0.000000000000000000e+00,1.412902644659398810e+01,-1.149481561292250831e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.515151583589613438e-03,0.000000000000000000e+00,1.433070033994705561e+01,-1.124238418087020897e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.474747550673782825e-03,0.000000000000000000e+00,1.452786483445424537e+01,-1.098641514123087859e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.434343401342630386e-03,0.000000000000000000e+00,1.472045788895058394e+01,-1.072698903902077561e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.393939368426799774e-03,0.000000000000000000e+00,1.490841890075253140e+01,-1.046418750707975676e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.353535335510969162e-03,0.000000000000000000e+00,1.509168872472763390e+01,-1.019809324038411447e+01
0.000000000000000000e+00,0.000000000000000000e+00,-1.313131302595138550e-03,0.000000000000000000e+00,1.527020969190556343e+01,-9.928789970025187372e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.272727269679307938e-03,0.000000000000000000e+00,1.544392562762463150e+01,-9.656362436861950727e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.232323236763477325e-03,0.000000000000000000e+00,1.561278186920810462e+01,-9.380896364855869862e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.191919203847646713e-03,0.000000000000000000e+00,1.577672528316474754e+01,-9.102478434096376247e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.151515170931816101e-03,0.000000000000000000e+00,1.593570428190817623e+01,-8.821196253525524611e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.111111138015985489e-03,0.000000000000000000e+00,1.608966883998978403e+01,-8.537138333370334564e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.070707105100154877e-03,0.000000000000000000e+00,1.623857050984007699e+01,-8.250394057291540406e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.030303072184324265e-03,0.000000000000000000e+00,1.638236243701354766e+01,-7.961053654257508327e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.898990392684936523e-04,0.000000000000000000e+00,1.652099937493222370e+01,-7.669208170152150394e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.494950063526630402e-04,0.000000000000000000e+00,1.665443769912324967e+01,-7.374949439125783712e+00
0.000000000000000000e+00,0.000000000000000000e+00,-9.090908570215106010e-04,0.000000000000000000e+00,1.678263542094609662e+01,-7.078370054697956881e+00
0.000000000000000000e+00,0.000000000000000000e+00,-8.686868241056799889e-04,0.000000000000000000e+00,1.690555220080500121e+01,-6.779563340621323597e+00
0.000000000000000000e+00,0.000000000000000000e+00,-8.282827911898493767e-04,0.000000000000000000e+00,1.702314936084248487e+01,-6.478623321515729394e+00
0.000000000000000000e+00,0.000000000000000000e+00,-7.878787582740187645e-04,0.000000000000000000e+00,1.713538989711001648e+01,-6.175644693281767239e+00
0.000000000000000000e+00,0.000000000000000000e+00,-7.474747253581881523e-04,0.000000000000000000e+00,1.724223849121194618e+01,-5.870722793303102094e+00
0.000000000000000000e+00,0.000000000000000000e+00,-7.070706924423575401e-04,0.000000000000000000e+00,1.734366152141900130e+01,-5.563953570446938279e+00
0.000000000000000000e+00,0.000000000000000000e+00,-6.666666595265269279e-04,0.000000000000000000e+00,1.743962707324798345e+01,-5.255433554872070978e+00
0.000000000000000000e+00,0.000000000000000000e+00,-6.262626266106963158e-04,0.000000000000000000e+00,1.753010494950416742e+01,-4.945259827654036933e+00
0.000000000000000000e+00,0.000000000000000000e+00,-5.858585936948657036e-04,0.000000000000000000e+00,1.761506667978337859e+01,-4.633529990236892715e+00
0.000000000000000000e+00,0.000000000000000000e+00,-5.454545607790350914e-04,0.000000000000000000e+00,1.769448552943069330e+01,-4.320342133721262634e+00
0.000000000000000000e+00,0.000000000000000000e+00,-5.050505278632044792e-04,0.000000000000000000e+00,1.776833650795293806e+01,-4.005794807998305451e+00
0.000000000000000000e+00,0.000000000000000000e+00,-4.646463785320520401e-04,0.000000000000000000e+00,1.783659637688239030e+01,-3.689986990739310802e+00
0.000000000000000000e+00,0.000000000000000000e+00,-4.242423456162214279e-04,0.000000000000000000e+00,1.789924365708915133e+01,-3.373018056250688179e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.838383127003908157e-04,0.000000000000000000e+00,1.795625863553991408e+01,-3.054987744204153977e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.434342797845602036e-04,0.000000000000000000e+00,1.800762337150101899e+01,-2.735996128251942938e+00
0.000000000000000000e+00,0.000000000000000000e+00,-3.030302468687295914e-04,0.000000000000000000e+00,1.805332170218379773e+01,-2.416143584536929012e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.626262139528989792e-04,0.000000000000000000e+00,1.809333924783046754e+01,-2.095530760107566337e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.222221810370683670e-04,0.000000000000000000e+00,1.812766341623898825e+01,-1.774258541247577536e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.818181481212377548e-04,0.000000000000000000e+00,1.815628340672538954e+01,-1.452428021730370888e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.414141152054071426e-04,0.000000000000000000e+00,1.817919021352240705e+01,-1.130140471008160619e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.010100822895765305e-04,0.000000000000000000e+00,1.819637662861327954e+01,-8.074973023458114074e-01
0.000000000000000000e+00,0.000000000000000000e+00,-6.060604937374591827e-05,0.000000000000000000e+00,1.820783724399990078e+01,-4.846000409094247119e-01
0.000000000000000000e+00,0.000000000000000000e+00,-2.020201645791530609e-05,0.000000000000000000e+00,1.821356845340451969e+01,-1.615502918197258830e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.020201645791530609e-05,0.000000000000000000e+00,1.821356845340451969e+01,1.615502918197299353e-01
0.000000000000000000e+00,0.000000000000000000e+00,6.060604937374591827e-05,0.000000000000000000e+00,1.820783724399990078e+01,4.846000409094287642e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.010100822895765305e-04,0.000000000000000000e+00,1.819637662861327954e+01,8.074973023458132948e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.414141152054071426e-04,0.000000000000000000e+00,1.817919021352240705e+01,1.130140471008162617e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.818183809518814087e-04,0.000000000000000000e+00,1.815628340672538954e+01,1.452428021730372665e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.222224138677120209e-04,0.000000000000000000e+00,1.812766341623898825e+01,1.774258541247579535e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.626264467835426331e-04,0.000000000000000000e+00,1.809333924783046754e+01,2.095530760107568113e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.030304796993732452e-04,0.000000000000000000e+00,1.805332170218379417e+01,2.416143584536931233e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.434345126152038574e-04,0.000000000000000000e+00,1.800762337150101899e+01,2.735996128251944715e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.838385455310344696e-04,0.000000000000000000e+00,1.795625863553991408e+01,3.054987744204155753e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.242425784468650818e-04,0.000000000000000000e+00,1.789924365708915133e+01,3.373018056250689956e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.646466113626956940e-04,0.000000000000000000e+00,1.783659637688239030e+01,3.689986990739312578e+00
0.000000000000000000e+00,0.000000000000000000e+00,5.050506442785263062e-04,0.000000000000000000e+00,1.776833650795293806e+01,4.005794807998307228e+00
0.000000000000000000e+00,0.000000000000000000e+00,5.454546771943569183e-04,0.000000000000000000e+00,1.769448552943069330e+01,4.320342133721264410e+00
0.000000000000000000e+00,0.000000000000000000e+00,5.858587101101875305e-04,0.000000000000000000e+00,1.761506667978337859e+01,4.633529990236894491e+00
0.000000000000000000e+00,0.000000000000000000e+00,6.262627430260181427e-04,0.000000000000000000e+00,1.753010494950416742e+01,4.945259827654038709e+00
0.000000000000000000e+00,0.000000000000000000e+00,6.666667759418487549e-04,0.000000000000000000e+00,1.743962707324798345e+01,5.255433554872072754e+00
0.000000000000000000e+00,0.000000000000000000e+00,7.070708088576793671e-04,0.000000000000000000e+00,1.734366152141900130e+01,5.563953570446940056e+00
0.000000000000000000e+00,0.000000000000000000e+00,7.474748417735099792e-04,0.000000000000000000e+00,1.724223849121194263e+01,5.870722793303104758e+00
0.000000000000000000e+00,0.000000000000000000e+00,7.878788746893405914e-04,0.000000000000000000e+00,1.713538989711001648e+01,6.175644693281769015e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.282829076051712036e-04,0.000000000000000000e+00,1.702314936084248487e+01,6.478623321515731170e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.686869405210018158e-04,0.000000000000000000e+00,1.690555220080500121e+01,6.779563340621325374e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.090909734368324280e-04,0.000000000000000000e+00,1.678263542094609662e+01,7.078370054697958658e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.494950063526630402e-04,0.000000000000000000e+00,1.665443769912324612e+01,7.374949439125785489e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.898990392684936523e-04,0.000000000000000000e+00,1.652099937493222370e+01,7.669208170152152171e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.030303305014967918e-03,0.000000000000000000e+00,1.638236243701354766e+01,7.961053654257510992e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.070707337930798531e-03,0.000000000000000000e+00,1.623857050984007699e+01,8.250394057291542182e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.111111370846629143e-03,0.000000000000000000e+00,1.608966883998978403e+01,8.537138333370334564e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.151515403762459755e-03,0.000000000000000000e+00,1.593570428190817623e+01,8.821196253525526387e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.191919436678290367e-03,0.000000000000000000e+00,1.577672528316474576e+01,9.102478434096376247e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.232323469594120979e-03,0.000000000000000000e+00,1.561278186920810285e+01,9.380896364855869862e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.272727502509951591e-03,0.000000000000000000e+00,1.544392562762462973e+01,9.656362436861952503e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.313131535425782204e-03,0.000000000000000000e+00,1.527020969190556166e+01,9.928789970025189149e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.353535568341612816e-03,0.000000000000000000e+00,1.509168872472763212e+01,1.019809324038411624e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.393939601257443428e-03,0.000000000000000000e+00,1.490841890075252962e+01,1.046418750707975853e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.434343634173274040e-03,0.000000000000000000e+00,1.472045788895058394e+01,1.072698903902077738e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.474747667089104652e-03,0.000000000000000000e+00,1.452786483445424182e+01,1.098641514123088037e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.515151700004935265e-03,0.000000000000000000e+00,1.433070033994705206e+01,1.124238418087020897e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.555555732920765877e-03,0.000000000000000000e+00,1.412902644659398810e+01,1.149481561292250831e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.595959765836596489e-03,0.000000000000000000e+00,1.392290661451913891e+01,1.174363000553996272e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.636363798752427101e-03,0.000000000000000000e+00,1.371240570283691618e+01,1.198874906503781190e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.676767831668257713e-03,0.000000000000000000e+00,1.349758994924300914e+01,1.223009566053076291e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.717171864584088326e-03,0.000000000000000000e+00,1.327852694917158338e+01,1.246759384820356154e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.757575897499918938e-03,0.000000000000000000e+00,1.305528563452521773e+01,1.270116889520798686e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.797979930415749550e-03,0.000000000000000000e+00,1.282793625198430298e+01,1.293074730317881738e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.838383963331580162e-03,0.000000000000000000e+00,1.259655034090273951e+01,1.315625683136135926e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.878787996247410774e-03,0.000000000000000000e+00,1.236120071079685268e+01,1.337762651934321134e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.919192029163241386e-03,0.000000000000000000e+00,1.212196141843464936e+01,1.359478670938316469e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.959596062079071999e-03,0.000000000000000000e+00,1.187890774453258302e+01,1.380766906833022389e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.000000094994902611e-03,0.000000000000000000e+00,1.163211617006719578e+01,1.401620660912576000e+01
